run,xpos,tbart,sdt,neventst,tbarb,sdb,neventsb
3000,49.0,2.188,0.2259,478,3.135,0.2487,511
3008,43.0,2.531,0.2440,463,3.481,0.2614,510
3003,37.0,2.888,0.2552,473,3.808,0.3060,493
3007,31.0,3.222,0.2772,469,4.161,0.3277,501
3002,25.0,3.590,0.2844,464,4.529,0.2967,511
3006,19.0,3.905,0.3003,474,4.871,0.3388,491
3004,13.0,4.236,0.3306,461,5.162,0.3726,505
3005,7.0,4.493,0.3217,475,5.441,0.3813,505
3001,1.0,4.470,0.3499,471,5.346,0.4135,521

