Run #	1495	1494	1493	1492	1491
PMT 9	700V	725V	750V	775V	800V
1	0.0	0.0	0.0	0.0	0.0
2	146.4	140.8	137.2	126.4	118.6
3	103.5	97.8	90.6	83.2	78.0
4	270.5	264.7	248.9	239.8	231.8
5	77.9	72.8	67.5	65.4	64.5
6	0.0	0.0	0.0	0.0	0.0
7	39.1	39.3	40.0	41.8	42.0
8	49.4	48.4	48.2	49.5	50.4
9	100.7	95.6	89.4	86.7	85.9
10	94.1	88.1	81.2	78.2	76.5
11	105.1	101.1	92.7	87.5	83.1
12	85.7	79.8	76.8	75.7	76.7
13	219.8	201.7	191.7	181.6	168.6
14	186.0	174.7	164.3	154.7	145.8
15	192.2	178.9	166.2	153.6	145.2
16	353.4	321.1	294.8	278.1	261.1
