Run #	1456	1455	1449	1454	1452
PMT 12	700V	725V	750V	775V	800V
1	0.0	0.0	0.0	0.0	0.0
2	153.7	144.0	139.1	133.6	127.6
3	81.2	79.8	74.7	70.3	66.0
4	0.0	0.0	0.0	0.0	0.0
5	138.3	134.3	130.5	125.1	117.1
6	83.4	80.3	77.5	71.3	66.6
7	27.8	27.2	27.3	27.5	27.4
8	61.4	57.8	52.3	46.7	41.2
9	29.6	29.0	29.3	30.3	31.4
10	40.1	37.2	34.3	32.4	31.1
11	22.2	22.6	23.1	23.6	23.7
12	29.9	29.8	30.5	31.5	31.6
13	79.7	75.5	71.0	47.2	59.6
14	45.3	42.4	40.3	39.6	39.5
15	68.5	64.9	60.9	54.7	51.1
16	95.4	92.0	51.9	78.6	73.5
