PMT 6 Efficiency
Run#	1352	1354	1355	1386	1356
HV:	700	725	750	775	800
1	0.087	0.277	0.610	0.677	0.775
2	0.207	0.409	0.574	0.790	0.840
4	0.185	0.443	0.839	0.952	0.972
5	0.291	0.543	0.829	0.947	0.972
6	0.529	0.778	0.947	0.975	0.985
7	0.622	0.818	0.927	0.987	0.983
8	0.539	0.833	0.979	0.997	0.987
9	0.719	0.838	0.940	0.992	0.980
10	0.589	0.763	0.941	0.986	0.990
11	0.625	0.776	0.942	0.986	0.948
12	0.538	0.707	0.900	0.982	0.987
14	0.386	0.631	0.826	0.938	0.939
15	0.052	0.340	0.660	0.871	0.880
16	0.341	0.585	0.751	0.894	0.909
