Pixel  700     725    750    775     800
1      24      30     32     32      32
2      32      33     34     34      34
3      32      33     34     34      34
4      0       0      0      0	     0
5      32      34     34     34      34
6      26      30     32     32      32
7      26      30     32     32      32
8      32      34     35     35      35
9      0       0      0      0	     0
10     24      30     32     32      32
11     32      34     34     34      34
12     32      34     34     34      34
13     26      30     32     32      32
14     26      30     32     32      32
15     30      33     34     34      34
16     0       0      0      0	     0
