Run#	1320	1319	1318	1317	1324
PMT 7	700	725	750	775	800
1	42	38	37	37	39
2	29	29	29	29	31
3	29	29	29	29	32
4	0	0	0	0	0
5	28	28	28	28	30
6	37	34	33	33	35
7	40	37	35	36	36
8	29	27	27	27	30
9	52	48	45	45	44
10	36	34	33	33	33
11	28	28	29	29	30
12	26	26	27	27	29
13	43	40	40	40	42
14	37	35	35	36	38
15	33	32	32	33	35
16	0	0	0	0	0
