Run #: 1550	 PMT #: 7 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	436.199	1.10878	104.602
2	454.446	1.29173	138.68
3	548.011	1.23677	111.823
4	5.49033e-316	0	1.72883e-316
5	417.751	0.758347	93.9799
6	712.72	3.43436	297.742
7	4882.76	11.925	1193.81
8	685.126	2.95029	207.613
9	774.904	3.06745	307.052
10	623.557	1.86243	107.005
11	569.48	2.02221	144.358
12	527.684	1.31691	110.236
13	603.88	1.28304	143.798
14	548.485	1.03302	124.014
15	389.679	1.06884	100.999
16	1.19589e-312	0	6.95278e-310
