PMT 5 Efficiency
Run#	1352	1354	1355	1386	1356
HV:	700	725	750	775	800
1	0.226	0.469	0.643	0.767	0.787
2	0.066	0.225	0.406	0.606	0.724
3	0.087	0.236	0.507	0.758	0.828
5	0.593	0.772	0.896	0.958	0.988
6	0.597	0.761	0.939	0.971	0.986
7	0.568	0.778	0.915	0.972	0.980
8	0.594	0.795	0.951	0.983	0.992
9	0.688	0.785	0.916	0.970	0.980
10	0.700	0.791	0.902	0.988	0.978
11	0.758	0.866	0.954	0.992	0.990
12	0.721	0.772	0.905	0.983	1.000
13	0.673	0.797	0.929	0.990	0.997
15	0.674	0.806	0.874	0.912	0.951
16	0.572	0.802	0.927	0.895	0.984
