Run #: 1517	 PMT #: 5 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	354.562	0.175233	101.07
2	344.284	0.13388	83.0802
3	295.818	0.19804	101.43
4	-3224.86	1.75047	1108.85
5	346.188	0.141466	77.6082
6	0	0	0
7	344.265	0.111849	76.1097
8	346.282	0.110413	75.2267
9	333.857	0.105468	72.2319
10	342.913	0.0994393	68.7399
11	314.631	0.105734	73.23
12	324.537	0.147213	72.3861
13	0	0	0
14	31.198	0.0796278	54.5287
15	342.027	0.34244	168.129
16	361.562	0.147993	93.1258
