PMT 1 Efficiency
Run#	1355	1359	1354	1357	1356
HV:	700	725	750	775	800
1	0.454	0.728	0.820	0.876	0.938
2	0.392	0.668	0.857	0.912	0.935
3	0.464	0.790	0.940	0.976	0.953
6	0.617	0.883	0.969	0.992	0.973
7	0.583	0.809	0.957	0.983	0.975
8	0.655	0.857	0.971	0.962	0.962
9	0.496	0.760	0.940	0.982	0.985
10	0.243	0.578	0.849	0.982	0.960
11	0.125	0.508	0.803	0.971	0.970
12	0.514	0.742	0.928	0.985	0.944
13	0.523	0.742	0.941	0.956	0.967
14	0.312	0.709	0.945	0.960	0.928
15	0.333	0.654	0.822	0.911	0.918
16	0.402	0.506	0.647	0.752	0.826
