Run #: 1523	 PMT #: 1 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	-961.643	0.474789	294.071
3	163.758	0.0648557	38.6233
4	169.447	0.0898451	54.1701
5	151.962	0.0848408	51.1249
6	-668.609	0.399478	240.221
7	-804.257	0.405872	247.708
8	165.766	0.0737285	44.332
9	242.223	0.0486954	29.5427
10	174.694	0.0805105	48.1601
11	-29.9524	0.26666	161.907
12	163.403	0.119871	72.6016
13	172.415	0.0886771	50.9788
14	0	0	0
15	-1145.27	0.453511	271.488
16	134.114	0.141652	79.1965
