Run #: 1417	 PMT #: 12 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	400.782	0.173231	118.916
3	304.603	0.109213	72.092
4	0	0	0
5	364.643	0.119039	81.6127
6	320.748	0.124671	85.1115
7	210.453	0.0922172	63.8319
8	253.859	0.0904181	62.6593
9	200.442	0.0761059	52.8657
10	241.522	0.100682	69.8252
11	201.502	0.075129	51.9853
12	197.348	0.0999818	67.5982
13	247.539	0.115401	79.3517
14	235.368	0.10647	71.4066
15	271.239	0.107783	73.3435
16	302.781	0.157591	99.452
