Run #: 1533	 PMT #: 13 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	0	0	0
2	-700.67	4.25145	2754.1
3	616.389	1.00494	632.687
4	728.45	0.232009	152.182
5	667.216	0.37324	246.269
6	672.108	0.624249	419.865
7	673.701	0.333873	228.401
8	721.259	0.248697	170.708
9	643.569	0.461418	319.203
10	861.747	1.1567	789.738
11	741.44	1.48874	968.052
12	687.724	0.198583	135.701
13	676.7	0.647325	406.078
14	587.368	0.783907	528.505
15	685.041	0.276534	169.136
16	0	0	0
