PMT 9 Efficiency
Run#	1352	1386	1354	1355	1356
HV:	700	725	750	775	800
1	0.788	0.795	0.866	0.813	0.710
2	0.565	0.663	0.764	0.798	0.663
3	0.701	0.898	0.894	0.851	0.796
5	0.843	0.923	0.931	0.856	0.660
6	0.772	0.923	0.946	0.927	0.684
7	0.663	0.821	0.826	0.755	0.731
8	0.643	0.790	0.952	0.959	0.940
9	0.640	0.877	0.972	0.909	0.923
10	0.590	0.777	0.899	0.909	0.435
11	0.478	0.710	0.864	0.938	0.619
12	0.445	0.631	0.722	0.850	0.768
13	0.081	0.422	0.709	0.927	0.899
14	0.630	0.369	0.668	0.782	0.681
15	0.140	0.583	0.792	0.897	0.839
